filing_number,service_type,mutual_partners,Principal-Agent,Integration mechanism,Shared governance,Payment structrue,Frequency of Payment,Audit,Evaluation,Report,Mandatory discussion,Access to records,Insurance,Liability Shift/Indemnification,Explicit Amendment,Alternative Dispute Resolution Clause,Severability Clause,completeness,filing_year,col_direction,bonding_dum,tie_strength2,tie_strength_dum,service_contract
M502483,Jail and Corrections,20,TRUE,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2009,Horizontal,1,3,1,Yes
M502496,Police Protection,9,NA,4,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2009,Vertical,1,9,1,Yes
M502517,Fire Response,0,TRUE,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,2009,Horizontal,0,2,1,Yes
M502520,Fire Response,0,TRUE,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,6,2009,Horizontal,0,2,1,Yes
M502533,Police Protection,4,TRUE,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2009,Vertical,1,6,1,Yes
M502537,Jail and Corrections,25,TRUE,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2009,Horizontal,1,5,1,Yes
M502551,Police Protection,6,NA,4,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2009,Vertical,1,0,0,Yes
M502566,Jail and Corrections,25,TRUE,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2009,Horizontal,1,6,1,Yes
M502585,Jail and Corrections,19,TRUE,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2009,Horizontal,1,3,1,Yes
M502602,Jail and Corrections,0,TRUE,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,8,2009,Cross-sector,0,1,1,Yes
M502605,Jail and Corrections,1,TRUE,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,8,2009,Cross-sector,1,0,0,Yes
M502611,Police Protection,0,TRUE,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2009,Vertical,0,12,1,Yes
